Campaign ID,Campaign Name,Country,Application ID,Application name,Pricing Model,Bid,Impressions,Clicks,Installs,Completions,Spend,D1 Ad Revenue,D3 Ad Revenue,D7 Ad Revenue,D14 Ad Revenue,D30 Ad Revenue,D1 IAP Revenue,D3 IAP Revenue,D7 IAP Revenue,D14 IAP Revenue,D30 IAP Revenue,D1 ROAS,D3 ROAS,D7 ROAS,D14 ROAS,D30 ROAS,D1 Retention,D3 Retention,D7 Retention
4295027,Hempire - iOS - RV - US,US,82833,Bid Wars - Storage Auction Master,CPI,0.44,12045,1750,109,109,360.43,30.17,48.02,68.36,99.18,138.51,19.94,23.92,28.9,28.9,35.88,13.9,19.96,26.99,35.53,48.38,0,0,0
4295027,Hempire - iOS - RV - US,US,236335,Idle World !,CPI,0.56,18762,3243,105,105,169.36,12.14,22.48,33.35,49.43,68.12,31.88,57.83,91.78,91.78,91.78,25.99,47.42,73.88,83.38,94.41,0,0,0
4295027,Hempire - iOS - RV - US,US,228037,Restaurant Story,CPI,0.56,15610,2594,104,103,225.69,4.67,7.78,13.54,21.37,31.2,32.87,34.86,58.8,72.73,74.72,16.63,18.89,32.05,41.69,46.93,0,0,0
4295027,Hempire - iOS - RV - US,US,131315,Drag Racing Classic,CPI,0.64,8342,1227,102,101,138.87,8.9,13.21,20.1,25.41,36.86,14.95,22.93,54.87,54.87,54.87,17.18,26.03,53.98,57.81,66.05,0,0,0
4295027,Hempire - iOS - RV - US,US,137931,Sniper 3D Assassin: Shoot to Kill Gun Game,CPI,0.48,17101,2374,100,100,234.88,13.22,23.55,37.05,58.45,82.7,9.97,21.91,23.9,27.88,113.72,9.87,19.36,25.95,36.75,83.63,0,0,0
4295027,Hempire - iOS - RV - US,US,282039,Idle Tap Airport,CPI,0.46,9760,1792,100,100,233.82,8.11,12.86,21.84,32.53,37.55,10.95,21.91,23.9,23.9,23.9,8.15,14.87,19.56,24.14,26.28,0,0,0
4295027,Hempire - iOS - RV - US,US,234487,Animal house : with puzzles,CPI,0.56,12465,4545,98,98,246.79,8.95,14.8,18.84,20.34,20.77,0,0,0,0,0,3.63,6,7.64,8.24,8.42,0,0,0
4295027,Hempire - iOS - RV - US,US,123889,Family Guy: The Quest for Stuff,CPI,0.7,11219,1904,97,97,167.4,10.47,16.42,22.66,26.62,32.25,31.92,39.9,46.87,48.86,50.85,25.32,33.65,41.53,45.09,49.64,0,0,0
4295027,Hempire - iOS - RV - US,US,160615,Friday the 13th: Killer Puzzle,CPI,0.59,11958,3415,90,90,284.21,4.86,8.24,12.42,17.64,20.68,10.97,31.94,31.94,34.93,34.93,5.57,14.14,15.61,18.5,19.57,0,0,0
4295027,Hempire - iOS - RV - US,US,229587,8 Ball Pool ironSource Mediation,CPI,0.8,23163,2562,81,81,192.42,10.7,19.16,29.49,48.67,80.74,0,0,26.96,53.91,71.84,5.56,9.96,29.34,53.31,79.29,0,0,0
4295027,Hempire - iOS - RV - US,US,168387,From Zero to Hero: Cityman,CPI,0.53,6181,1373,78,78,131.93,4.64,9.64,14.08,16.09,19.24,28.95,49.86,56.85,89.75,102.7,25.46,45.1,53.76,80.22,92.43,0,0,0
4295027,Hempire - iOS - RV - US,US,249061,Idle Zoo Tycoon 3D,CPI,0.56,9118,2540,75,75,170.85,3.95,7.98,14.61,18.13,23.54,63.89,70.86,82.83,82.83,84.82,39.7,46.15,57.04,59.1,63.43,0,0,0
4295027,Hempire - iOS - RV - US,US,154479,Drift Max Pro - Drifting Game,CPI,0.56,6628,1358,73,73,128.96,9.96,12.77,17.17,25.42,33.59,7.96,7.96,27.95,77.92,77.92,13.89,16.08,34.99,80.13,86.47,0,0,0
4295027,Hempire - iOS - RV - US,US,165815,Picture Cross,CPI,1.3,26241,2639,73,73,263.13,4.64,6.36,10.66,14.08,19.18,26.9,26.9,56.88,61.87,66.86,11.98,12.64,25.67,28.86,32.7,0,0,0
4295027,Hempire - iOS - RV - US,US,165661,Harry Potter: Hogwarts Mystery,CPI,0.67,21551,3838,72,72,235.32,13.84,27.78,41.39,55.4,80.42,18.94,28.92,28.92,30.91,30.91,13.93,24.09,29.88,36.68,47.31,0,0,0
4295027,Hempire - iOS - RV - US,US,247739,Island King,CPI,0.56,8232,1357,71,72,173.69,8.91,14.86,23.18,32.41,48.23,36.9,46.88,56.86,65.83,65.83,26.37,35.55,46.08,56.56,65.67,0,0,0
4295027,Hempire - iOS - RV - US,US,251079,Hammer Jump,CPI,0.56,4400,1073,71,71,118.39,4.24,7.13,8.71,10.51,12.96,24.94,27.93,38.89,45.88,45.88,24.64,29.62,40.21,47.63,49.7,0,0,0
4295027,Hempire - iOS - RV - US,US,237433,Sweet House : Design,CPI,0.56,11410,1489,71,71,168.6,4.63,11.4,17.9,22.46,29.62,2.99,9.97,9.97,9.97,9.97,4.52,12.67,16.53,19.23,23.48,0,0,0
4295027,Hempire - iOS - RV - US,US,105349,IMVU Mobile,CPI,0.35,13677,3751,66,66,117.95,3.97,4.58,6,6.63,6.7,0,0,0,0,0,3.37,3.88,5.09,5.62,5.68,0,0,0
4295027,Hempire - iOS - RV - US,US,222915,Idle Coffee Corp,CPI,0.56,10681,1619,66,66,105.43,4.4,6.76,10.97,13.44,20.63,53.85,65.82,179.65,232.55,323.39,55.25,68.84,180.8,233.32,326.3,0,0,0
4295027,Hempire - iOS - RV - US,US,251849,Car Wash Empire,CPI,0.48,6297,1626,61,61,160.91,5.34,11.57,16.39,21.31,21.84,8.97,8.97,28.95,106.85,186.75,8.89,12.76,28.18,79.65,129.63,0,0,0
4295027,Hempire - iOS - RV - US,US,148239,Gangstar New Orleans,CPI,0.56,6305,1869,61,60,139.62,3.82,6.78,8.5,12.79,17.93,0,0,0,2.99,4.98,2.74,4.86,6.08,11.3,16.41,0,0,0
4295027,Hempire - iOS - RV - US,US,186711,Terrarium ∙,CPI,0.62,6575,1251,52,52,140.35,5.39,8.09,10.32,12.39,14.39,88.93,88.93,143.91,143.91,268.89,67.21,69.13,109.89,111.37,201.85,0,0,0
4295027,Hempire - iOS - RV - US,US,247897,Solitaire TriPeaks Journey,CPI,0.56,8156,777,45,45,102.99,4.23,5.91,8.87,19.59,34.03,0,0,0,0,0,4.11,5.73,8.61,19.02,33.04,0,0,0
4295027,Hempire - iOS - RV - US,US,263359,Hobo World - life simulator,CPI,0.63,2053,701,45,45,119.78,7.65,9.92,15.09,20.22,21.12,12.97,12.97,29.94,29.94,29.94,17.22,19.11,37.59,41.88,42.63,0,0,0
4295027,Hempire - iOS - RV - US,US,142055,Family Guy- Another Freakin' Mobile Game,CPI,0.56,20020,1799,40,41,101.57,3.29,8.68,16.33,28.86,45.92,0,0,0,7.98,7.98,3.24,8.54,16.08,36.27,53.07,0,0,0
4295027,Hempire - iOS - RV - US,US,214487,Virtual Families: Cook Off,CPI,0.56,2566,409,39,39,74.3,2.98,5.45,9.71,14.52,19.86,0,11.98,11.98,20.96,28.94,4,23.46,29.19,47.76,65.68,0,0,0
4295027,Hempire - iOS - RV - US,US,240219,Citytopia,CPI,0.56,2628,358,38,38,64.2,4.54,7.35,11.6,17.87,40.5,40.88,47.86,72.83,79.81,99.79,70.75,86,131.51,152.15,218.53,0,0,0
4295027,Hempire - iOS - RV - US,US,186715,Crypto Trillionaire,CPI,0.56,3142,500,37,37,65.22,5.75,8.02,9.44,13.19,17.01,0,6.98,6.98,13.96,13.96,8.82,23,25.18,41.62,47.48,0,0,0
4295027,Hempire - iOS - RV - US,US,204291,Idle Evil — Clicker Simulator(old),CPI,1.3,3865,636,37,37,66.55,2.42,3.6,6.43,8.32,9.93,10.96,10.96,28.92,33.91,97.85,20.11,21.88,53.12,63.45,161.96,0,0,0
4295027,Hempire - iOS - RV - US,US,243931,Idle Toll,CPI,1.3,1926,518,34,35,58.98,1.14,1.53,3.04,4.12,4.38,0,0,0,9.99,9.99,1.93,2.6,5.15,23.93,24.36,0,0,0
4295027,Hempire - iOS - RV - US,US,216115,Decurse – Magical Farming Game,CPI,0.56,2383,390,32,32,117.15,2.7,6.13,11.37,17.39,29.34,136.86,358.79,536.72,553.7,777.64,119.13,311.5,467.85,487.49,688.84,0,0,0
4295027,Hempire - iOS - RV - US,US,255667,TrainStation 2: Railway Empire,CPI,0.56,3082,425,30,30,73.35,6.12,9.36,12.71,17.99,33.58,35.91,50.9,50.9,55.89,60.88,57.29,82.15,86.72,100.72,128.78,0,0,0
4295027,Hempire - iOS - RV - US,US,204333,Idle Harbour Tycoon - Sea Dock,CPI,1,2153,448,30,30,55.73,1.48,1.95,2.69,3.46,3.49,1.99,8.97,8.97,25.92,25.92,6.23,19.59,20.93,52.71,52.77,0,0,0
4295027,Hempire - iOS - RV - US,US,249411,Manor Diary,CPI,1.3,3167,423,28,28,62.67,2.49,3.37,6.19,14.12,24.29,0,6.99,16.97,16.97,16.97,3.97,16.53,36.96,49.61,65.83,0,0,0
4295027,Hempire - iOS - RV - US,US,201427,Sushi Bar Idle,CPI,0.62,5295,1274,27,27,39.73,4.08,5.65,8.94,12.4,17.72,2.99,2.99,9.98,24.95,24.95,17.79,21.74,47.63,94.01,107.4,0,0,0
4295027,Hempire - iOS - RV - US,US,169369,Critical Ops,CPI,1.3,5961,1446,27,27,61.61,1,1.06,1.73,2.13,2.13,0,0,0,0,0,1.62,1.72,2.81,3.46,3.46,0,0,0
4295027,Hempire - iOS - RV - US,US,169657,SuperCity: Build a Story,CPI,0.56,3873,333,27,27,82.55,4.13,7.16,13.31,27.02,40.85,0,0,3.98,13.95,85.85,5,8.67,20.94,49.63,153.48,0,0,0
4295027,Hempire - iOS - RV - US,US,177787,Fit the Fat 3,CPI,0.84,2835,1058,26,26,36.71,1.86,7.2,13.67,21.81,36.78,0,0,0,0,0,5.06,19.62,37.25,59.41,100.2,0,0,0
4295027,Hempire - iOS - RV - US,US,76893,Rodeo Stampede - Sky Zoo Safari,CPI,1.3,6661,1655,26,26,74.46,2.67,3.96,4.58,4.75,5.35,0,0,0,0,0,3.59,5.31,6.14,6.38,7.18,0,0,0
4295027,Hempire - iOS - RV - US,US,227055,Tap Color    Coloring Game,CPI,0.56,16669,2000,25,25,79.99,1.38,2.19,3.12,4.81,8.49,0,0,0,0,0,1.72,2.74,3.9,6.01,10.62,0,0,0
4295027,Hempire - iOS - RV - US,US,267293,Idle Car !,CPI,0.56,3324,666,25,25,55.24,4.75,7.51,8.76,9.16,9.21,1.99,1.99,1.99,1.99,1.99,12.2,17.2,19.47,20.18,20.27,0,0,0
4295027,Hempire - iOS - RV - US,US,155341,Tanks A Lot - 3v3 brawls,CPI,0.56,3664,695,25,25,59.12,5.19,8.77,16.07,25.94,39.7,12.96,32.92,74.85,79.84,96.8,30.71,70.52,153.8,178.93,230.89,0,0,0
