Site ID,Channel,Campaign Name,Country,Spend,Installs,IPM,CPI,D1 Total Revenue,D3 Total Revenue,D7 IAP Revenue,,D1 Total ROAS,D3 Total ROAS,D7 Total ROAS
146545,IronSource,nk_a16_is_01,US,336.3,411,13.52418559,0.818248175,67.5118,95.674,111.5213,50.267,0.200748736,0.284490039,0.331612548
72187,IronSource,nk_a16_is_01,US,331.36,409,12.49809015,0.810171149,34.3427,55.1673,66.5397,32.13,0.103641659,0.166487506,0.200807883
57933,IronSource,nk_a16_is_01,US,320.51,339,9.243857879,0.945457227,62.0477,86.5107,101.2301,46.081,0.193590528,0.269915759,0.315840691
183781,IronSource,nk_a16_is_01,US,318.91,434,23.30451592,0.734815668,38.1015,60.1593,73.401,28.616,0.119474146,0.188640369,0.230162115
122535,IronSource,nk_a16_is_01,US,311.2,376,7.310481597,0.827659574,44.5887,67.5938,78.5508,32.102,0.143279884,0.217203728,0.252412596
167257,IronSource,nk_a16_is_01,US,300.89,369,10.42696883,0.815420054,58.5922,83.4324,99.632,43.281,0.194729635,0.277285387,0.331124331
192393,IronSource,nk_a16_is_01,US,294.05,323,16.99642181,0.910371517,85.5618,122.7218,147.779,132.398,0.290977045,0.417350111,0.50256419
219455,IronSource,nk_a16_is_01,US,292.85,356,23.2725371,0.82261236,56.1427,78.5014,90.1327,55.846,0.191711456,0.268060099,0.307777702
165343,IronSource,nk_a16_is_01,US,287.22,350,19.69722551,0.820628571,35.5222,57.6726,68.0818,35.623,0.123675928,0.200795906,0.237037114
126921,IronSource,nk_a16_is_01,US,283.42,299,13.49277978,0.947892977,110.4096,141.753,155.7438,123.592,0.389561781,0.500151718,0.549515913
173881,IronSource,nk_a16_is_01,US,268.1,332,14.61846682,0.80753012,35.1607,58.2093,78.5692,34.902,0.131147706,0.217117866,0.293059306
210875,IronSource,nk_a16_is_01,US,266.48,283,4.293603593,0.941625442,39.6719,69.0953,84.1697,28.616,0.148873837,0.259288877,0.315857475
204227,IronSource,nk_a16_is_01,US,264.09,322,12.45647969,0.82015528,35.542,55.7701,66.2307,28.616,0.134582907,0.211178386,0.250788368
164215,IronSource,nk_a16_is_01,US,259.95,326,24.31202923,0.797392638,27.3495,47.6502,63.0296,19.544,0.105210617,0.183305251,0.242468167
271139,IronSource,nk_a16_is_01,US,251.92,299,11.6856216,0.842541806,53.555,77.1897,93.7739,48.188,0.212587329,0.306405605,0.372236821
245883,IronSource,nk_a16_is_01,US,240.42,293,12.62060648,0.820546075,39.2902,64.2095,76.6717,48.181,0.163423176,0.267072207,0.318907329
